"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACTINOPTERYGII","90","11","101","143","8","252","768","1,326","1,497","3,591","0","874","17,274","5,031","26,871"
"AMPHIBIA","37","2","39","184","1","224","798","1,266","809","2,873","0","452","3,737","908","8,009"
"ANTHOZOA","0","0","0","2","0","2","32","247","58","337","0","31","432","149","949"
"ARACHNIDA","9","0","9","22","0","31","79","117","87","283","0","28","400","67","787"
"ASTEROIDEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"AVES","164","5","169","18","1","188","223","395","693","1,311","0","935","8,742","38","11,195"
"BIVALVIA","32","0","32","15","0","47","89","83","59","231","0","55","345","174","837"
"BRANCHIOPODA","0","0","0","0","0","0","8","13","22","43","1","1","1","1","47"
"CALCAREA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"CEPHALOPODA","0","0","0","0","0","0","1","2","2","5","0","3","324","422","754"
"CHILOPODA","0","0","0","2","0","2","3","6","1","10","0","0","1","0","11"
"CHONDRICHTHYES","1","0","1","2","0","3","93","129","179","401","0","130","546","175","1,253"
"CLITELLATA","2","0","2","4","0","6","7","16","12","35","0","20","108","192","357"
"COLLEMBOLA","0","0","0","2","0","2","3","4","2","9","0","10","6","3","28"
"DEMOSPONGIAE","0","0","0","0","0","0","0","0","0","0","0","0","1","21","22"
"DIPLOPODA","3","0","3","4","0","7","37","32","17","86","0","66","52","43","250"
"ECHINOIDEA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"GASTROPODA","264","13","277","145","1","423","655","561","1,002","2,218","0","691","2,700","1,643","7,529"
"HEXANAUPLIA","1","0","1","0","0","1","1","0","24","25","8","0","0","4","38"
"HOLOTHUROIDEA","0","0","0","0","0","0","0","7","9","16","0","0","111","244","371"
"HYDROZOA","0","0","0","0","0","0","4","7","2","13","0","0","0","2","15"
"INSECTA","58","1","59","93","0","152","436","994","993","2,423","3","763","6,239","3,260","12,747"
"MALACOSTRACA","7","1","8","18","1","27","141","164","311","616","0","76","1,211","1,130","3,041"
"MAMMALIA","84","1","85","31","0","116","241","546","567","1,354","0","391","3,363","798","5,991"
"MAXILLOPODA","1","0","1","0","0","1","6","0","47","53","0","0","0","19","73"
"MEROSTOMATA","0","0","0","0","0","0","0","1","1","2","0","0","0","2","4"
"MONOPLACOPHORA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MYXINI","0","0","0","0","0","0","1","2","6","9","0","2","36","33","80"
"NEMERTEA","1","0","1","1","0","2","1","1","1","3","0","0","1","1","6"
"OSTRACODA","2","0","2","0","0","2","2","0","9","11","0","0","0","1","14"
"PETROMYZONTI","0","0","0","1","0","1","4","6","3","13","0","7","21","2","43"
"POLYCHAETA","0","0","0","0","0","0","1","0","0","1","0","0","0","1","2"
"POLYPLACOPHORA","0","0","0","0","0","0","0","1","0","1","0","1","0","0","2"
"REPTILIA","32","2","34","49","0","83","430","789","626","1,845","2","564","6,367","1,499","10,311"
"SARCOPTERYGII","0","0","0","0","0","0","1","1","1","3","0","0","5","0","8"
"SOLENOGASTRES","0","0","0","0","0","0","0","0","1","1","0","2","1","0","4"
"TURBELLARIA","1","0","1","0","0","1","0","0","0","0","0","0","0","1","2"
"UDEONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"PHAEOPHYCEAE","0","0","0","4","0","4","4","1","1","6","0","0","0","12","18"
"AGARICOMYCETES","0","0","0","2","0","2","16","71","150","237","0","62","191","137","627"
"ARTHONIOMYCETES","0","0","0","0","0","0","5","3","0","8","0","0","0","3","11"
"DACRYMYCETES","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"DOTHIDEOMYCETES","0","0","0","0","0","0","1","1","1","3","0","0","0","2","5"
"EUROTIOMYCETES","0","0","0","0","0","0","0","0","2","2","0","0","1","5","8"
"EXOBASIDIOMYCETES","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"GEOGLOSSOMYCETES","0","0","0","0","0","0","0","0","2","2","0","1","0","1","4"
"LECANOROMYCETES","0","0","0","1","0","1","17","30","24","71","0","2","45","5","123"
"LEOTIOMYCETES","0","0","0","0","0","0","0","1","1","2","0","1","4","1","8"
"NOT ASSIGNED","0","0","0","0","0","0","1","0","1","2","0","0","0","0","2"
"PEZIZOMYCETES","0","0","0","0","0","0","1","1","3","5","0","4","1","2","12"
"SORDARIOMYCETES","0","0","0","0","0","0","2","0","1","3","0","1","1","7","12"
"USTILAGINOMYCETES","0","0","0","0","0","0","1","0","2","3","0","0","1","0","4"
"ANDREAEOPSIDA","0","0","0","0","0","0","0","1","1","2","0","0","0","1","3"
"ANTHOCEROTOPSIDA","0","0","0","0","0","0","0","2","0","2","0","0","1","0","3"
"BRYOPSIDA","4","0","4","0","0","4","26","38","32","96","0","22","38","28","188"
"BRYOPSIDOPHYCEAE","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CHAROPHYACEAE","0","0","0","0","0","0","0","0","0","0","0","0","11","3","14"
"CHLOROPHYCEAE","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CYCADOPSIDA","0","5","5","0","3","8","63","104","72","239","0","37","65","1","347"
"FLORIDEOPHYCEAE","1","0","1","2","0","3","6","0","3","9","0","0","8","60","78"
"GINKGOOPSIDA","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"GNETOPSIDA","0","0","0","0","0","0","0","1","4","5","0","7","75","10","97"
"JUNGERMANNIOPSIDA","0","0","0","0","0","0","14","25","21","60","0","11","27","3","101"
"LILIOPSIDA","15","7","22","84","14","120","914","1,579","1,195","3,688","7","565","4,299","1,073","9,654"
"LYCOPODIOPSIDA","0","0","0","2","0","2","16","13","18","47","0","10","46","13","116"
"MAGNOLIOPSIDA","115","32","147","506","31","684","4,970","9,891","8,648","23,509","105","3,640","29,502","4,696","61,599"
"MARCHANTIOPSIDA","0","0","0","0","0","0","2","3","2","7","0","1","1","4","13"
"PINOPSIDA","0","0","0","1","0","1","29","94","82","205","0","100","303","8","616"
"POLYPODIOPSIDA","2","1","3","8","0","11","71","106","98","275","0","43","291","94","706"
"POLYTRICHOPSIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"SPHAGNOPSIDA","0","0","0","0","0","0","6","3","4","13","0","0","3","1","17"
"TAKAKIOPSIDA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"ULVOPHYCEAE","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Total","926","81","1,007","1,346","60","2,413","10,235","18,688","17,414","46,337","126","9,612","86,939","22,040","166,061"
