"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACIPENSERIFORMES","1","1","2","1","0","3","17","3","5","25","0","0","0","0","27"
"ALBULIFORMES","0","0","0","0","0","0","0","0","1","1","0","1","1","7","10"
"AMIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ANGUILLIFORMES","0","0","0","0","0","0","1","4","4","9","0","5","626","262","902"
"ATELEOPODIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","5","11"
"ATHERINIFORMES","1","0","1","4","3","8","45","56","42","143","0","28","126","38","336"
"AULOPIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","223","58","282"
"BATRACHOIDIFORMES","0","0","0","0","0","0","0","3","8","11","0","0","57","16","84"
"BELONIFORMES","0","0","0","3","0","3","7","9","7","23","0","14","119","22","178"
"BERYCIFORMES","0","0","0","0","0","0","0","0","3","3","0","0","114","28","145"
"CETOMIMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","16","12","28"
"CHARACIFORMES","0","0","0","4","0","4","21","76","98","195","0","69","1,531","239","2,034"
"CICHLIFORMES","5","0","5","50","0","55","117","82","112","311","0","67","961","230","1,574"
"CLUPEIFORMES","2","0","2","1","0","3","4","11","11","26","0","4","267","120","419"
"CYPRINIFORMES","45","2","47","43","0","90","193","400","387","980","0","240","1,698","714","3,679"
"CYPRINODONTIFORMES","11","7","18","10","4","32","119","203","197","519","0","59","472","168","1,236"
"ELOPIFORMES","0","0","0","0","0","0","0","0","1","1","0","0","3","5","9"
"ESOCIFORMES","0","0","0","0","0","0","0","0","2","2","0","1","11","0","14"
"GADIFORMES","0","0","0","0","0","0","1","1","2","4","0","1","118","39","162"
"GASTEROSTEIFORMES","1","0","1","0","0","1","0","2","2","4","0","3","18","5","31"
"GOBIESOCIFORMES","0","0","0","0","1","1","1","1","9","11","0","0","68","24","103"
"GOBIIFORMES","0","0","0","6","0","6","35","63","63","161","0","45","1,115","393","1,714"
"GONORYNCHIFORMES","0","0","0","0","0","0","0","1","4","5","0","0","18","11","34"
"GYMNOTIFORMES","0","0","0","1","0","1","7","4","16","27","0","8","168","34","237"
"LAMPRIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","22","3","25"
"LEPISOSTEIFORMES","0","0","0","0","0","0","1","0","0","1","0","0","6","0","7"
"LOPHIIFORMES","0","0","0","0","0","0","3","4","0","7","0","1","245","101","354"
"MUGILIFORMES","0","0","0","0","0","0","0","1","0","1","0","4","36","12","53"
"MYCTOPHIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","234","24","258"
"NOT ASSIGNED","0","0","0","1","0","1","3","4","12","19","0","5","473","72","569"
"NOTACANTHIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","13","0","13"
"OPHIDIIFORMES","0","0","0","0","0","0","1","6","5","12","0","2","336","189","539"
"OSMERIFORMES","1","0","1","0","0","1","26","27","11","64","0","0","113","27","205"
"OSTEOGLOSSIFORMES","1","0","1","0","0","1","0","6","15","21","0","5","145","41","213"
"PERCIFORMES","1","0","1","2","0","3","39","107","185","331","0","105","3,908","623","4,968"
"PERCOPSIFORMES","0","0","0","0","0","0","1","0","0","1","0","3","5","0","9"
"PLEURONECTIFORMES","0","0","0","0","0","0","0","2","12","14","0","9","440","321","784"
"POLYMIXIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","7","3","10"
"POLYPTERIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","12","1","14"
"SACCOPHARYNGIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","10","18","28"
"SALMONIFORMES","18","1","19","3","0","22","24","31","51","106","0","7","73","9","214"
"SCORPAENIFORMES","1","0","1","0","0","1","4","8","6","18","0","12","429","118","578"
"SILURIFORMES","2","0","2","13","0","15","92","194","197","483","0","160","2,077","730","3,452"
"STEPHANOBERYCIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","50","29","79"
"STOMIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","333","107","440"
"SYNBRANCHIFORMES","0","0","0","1","0","1","2","6","6","14","0","4","63","19","100"
"SYNGNATHIFORMES","0","0","0","0","0","0","3","4","15","22","0","3","189","92","306"
"TETRAODONTIFORMES","0","0","0","0","0","0","1","7","8","16","0","7","308","60","391"
"ZEIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","10","2","12"
"ANURA","34","2","36","174","1","211","662","1,070","697","2,429","0","379","3,429","772","7,045"
"CAUDATA","3","0","3","10","0","13","132","185","108","425","0","69","216","45","758"
"GYMNOPHIONA","0","0","0","0","0","0","4","11","4","19","0","4","92","91","206"
"ACTINIARIA","0","0","0","1","0","1","1","1","1","3","0","0","2","6","11"
"ALCYONACEA","0","0","0","0","0","0","0","0","1","1","0","3","8","4","16"
"MALACALCYONCAEA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"PENICILLARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"PENNATULACEA","0","0","0","0","0","0","0","1","0","1","0","4","2","2","9"
"SCLERACTINIA","0","0","0","1","0","1","31","245","56","332","0","24","419","127","902"
"SCLERALCYONACEA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ZOANTHARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8"
"AMBLYPYGI","0","0","0","0","0","0","0","0","2","2","0","0","0","0","2"
"ARANEAE","3","0","3","15","0","18","64","98","77","239","0","22","395","49","708"
"HOLOTHYROIDAE","1","0","1","0","0","1","2","1","0","3","0","0","0","0","4"
"OPILIONES","5","0","5","5","0","10","6","9","2","17","0","0","0","0","22"
"PSEUDOSCORPIONES","0","0","0","2","0","2","5","5","4","14","0","0","4","1","19"
"SARCOPTIFORMES","0","0","0","0","0","0","0","1","0","1","0","6","0","16","23"
"SCHIZOMIDA","0","0","0","0","0","0","1","2","1","4","0","0","1","1","6"
"SCORPIONES","0","0","0","0","0","0","1","1","1","3","0","0","0","0","3"
"FORCIPULATIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"ACCIPITRIFORMES","1","0","1","0","0","1","12","21","25","58","0","30","163","0","252"
"ANSERIFORMES","7","0","7","0","0","7","7","7","11","25","0","14","131","0","177"
"BUCEROTIFORMES","1","0","1","0","0","1","3","5","17","25","0","5","42","0","73"
"CAPRIMULGIFORMES","2","0","2","3","0","5","11","12","26","49","0","32","512","8","603"
"CARIAMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"CATHARTIFORMES","0","0","0","0","0","0","1","0","1","2","0","0","5","0","7"
"CHARADRIIFORMES","7","0","7","3","0","10","11","16","35","62","0","48","269","1","387"
"CICONIIFORMES","0","0","0","0","0","0","0","3","0","3","0","4","13","0","20"
"COLIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6"
"COLUMBIFORMES","16","1","17","0","0","17","13","17","31","61","0","46","245","0","369"
"CORACIIFORMES","0","1","1","0","0","1","4","0","9","13","0","27","145","1","187"
"CUCULIFORMES","2","0","2","0","0","2","2","2","8","12","0","8","131","0","153"
"EURYPYGIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","1","0","2"
"FALCONIFORMES","2","0","2","0","0","2","0","2","6","8","0","7","48","0","65"
"GALLIFORMES","1","1","2","0","1","3","12","16","42","70","0","37","199","1","309"
"GAVIIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","4","0","5"
"GRUIFORMES","24","0","24","0","0","24","9","11","27","47","0","10","110","2","193"
"LEPTOSOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MESITORNITHIFORMES","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3"
"MUSOPHAGIFORMES","0","0","0","0","0","0","0","1","0","1","0","2","21","0","24"
"OPISTHOCOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"OTIDIFORMES","0","0","0","0","0","0","3","2","3","8","0","7","11","0","26"
"PASSERIFORMES","65","1","66","5","0","71","81","191","300","572","0","491","5,546","19","6,694"
"PELECANIFORMES","6","0","6","0","0","6","4","8","6","18","0","8","84","0","116"
"PHAETHONTIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"PHOENICOPTERIFORMES","0","0","0","0","0","0","0","0","1","1","0","3","2","0","6"
"PICIFORMES","1","0","1","1","0","2","2","6","10","18","0","42","422","1","484"
"PODICIPEDIFORMES","3","0","3","0","0","3","1","3","1","5","0","1","14","0","23"
"PROCELLARIIFORMES","2","0","2","2","0","4","17","20","29","66","0","20","57","3","148"
"PSITTACIFORMES","16","1","17","3","0","20","23","30","54","107","0","52","244","1","421"
"PTEROCLIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","16","0","16"
"SPHENISCIFORMES","0","0","0","0","0","0","1","4","4","9","0","2","7","0","18"
"STRIGIFORMES","5","0","5","1","0","6","5","11","23","39","0","24","174","1","243"
"STRUTHIONIFORMES","2","0","2","0","0","2","0","1","10","11","0","7","41","0","61"
"SULIFORMES","1","0","1","0","0","1","1","5","9","15","0","2","36","0","54"
"TROGONIFORMES","0","0","0","0","0","0","0","0","2","2","0","5","36","0","43"
"ADAPEDONTA","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"ARCIDA","0","0","0","0","0","0","0","0","1","1","0","0","3","0","4"
"CARDIIDA","0","0","0","0","0","0","1","3","2","6","0","0","16","5","27"
"LUCINIDA","0","0","0","0","0","0","1","1","0","2","0","0","1","0","3"
"MYIDA","0","0","0","1","0","1","1","2","1","4","0","0","6","1","11"
"MYTILIDA","0","0","0","0","0","0","2","4","6","12","0","0","4","1","17"
"NUCULANIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"OSTREIDA","0","0","0","0","0","0","1","0","0","1","0","0","6","14","21"
"PECTINIDA","0","0","0","0","0","0","0","0","1","1","0","0","0","1","2"
"SOLEMYIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"SPHAERIIDA","0","0","0","2","0","2","4","3","7","14","0","3","82","39","138"
"UNIONIDA","32","0","32","12","0","44","74","68","41","183","0","48","203","84","550"
"VENERIDA","0","0","0","0","0","0","3","2","0","5","0","4","21","29","59"
"ANOSTRACA","0","0","0","0","0","0","7","9","10","26","1","1","1","1","30"
"DIPLOSTRACA","0","0","0","0","0","0","0","0","12","12","0","0","0","0","12"
"NOTOSTRACA","0","0","0","0","0","0","1","4","0","5","0","0","0","0","5"
"CLATHRINIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"LEUCOSOLENIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BATHYTEUTHIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6"
"IDIOSEPIIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6"
"MYOPSIDA","0","0","0","0","0","0","0","0","0","0","0","0","12","36","48"
"NAUTILIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","3","4"
"OCTOPODA","0","0","0","0","0","0","1","2","2","5","0","1","139","126","271"
"OEGOPSIDA","0","0","0","0","0","0","0","0","0","0","0","0","126","104","230"
"SEPIIDA","0","0","0","0","0","0","0","0","0","0","0","1","33","92","126"
"SEPIOLIDA","0","0","0","0","0","0","0","0","0","0","0","0","12","50","62"
"SPIRULIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"GEOPHILOMORPHA","0","0","0","2","0","2","3","2","0","5","0","0","1","0","6"
"LITHOBIOMORPHA","0","0","0","0","0","0","0","3","0","3","0","0","0","0","3"
"SCOLOPENDROMORPHA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"SCUTIGEROMORPHA","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"CARCHARHINIFORMES","0","0","0","1","0","1","24","30","42","96","0","23","136","41","296"
"CHIMAERIFORMES","0","0","0","0","0","0","0","0","4","4","0","4","37","10","55"
"HETERODONTIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","7","3","10"
"HEXANCHIFORMES","0","0","0","0","0","0","0","0","1","1","0","3","3","0","7"
"LAMNIFORMES","0","0","0","0","0","0","1","5","4","10","0","0","5","0","15"
"MYLIOBATIFORMES","1","0","1","0","0","1","16","45","45","106","0","38","50","27","222"
"ORECTOLOBIFORMES","0","0","0","0","0","0","1","4","12","17","0","6","17","5","45"
"PRISTIOPHORIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","7","2","10"
"RAJIFORMES","0","0","0","0","0","0","8","14","25","47","0","28","176","48","299"
"RHINOPRISTIFORMES","0","0","0","0","0","0","32","6","10","48","0","5","7","6","66"
"SQUALIFORMES","0","0","0","0","0","0","1","15","16","32","0","14","72","23","141"
"SQUATINIFORMES","0","0","0","0","0","0","8","4","1","13","0","3","6","2","24"
"TORPEDINIFORMES","0","0","0","1","0","1","2","6","19","27","0","5","23","8","63"
"ARHYNCHOBDELLIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"CRASSICLITELLATA","0","0","0","1","0","1","2","3","7","12","0","7","56","127","202"
"HAPLOTAXIDA","0","0","0","0","0","0","0","0","0","0","0","2","0","2","4"
"MEGADRILACEAE","2","0","2","1","0","3","3","9","5","17","0","9","42","50","120"
"OPISTHOPORA","0","0","0","2","0","2","2","4","0","6","0","1","10","13","30"
"ENTOMOBRYOMORPHA","0","0","0","0","0","0","0","0","2","2","0","3","1","0","6"
