"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"AGARICALES","0","0","0","2","0","2","5","29","88","122","0","28","52","13","215"
"AMYLOCORTICIALES","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"ATHELIALES","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"AURICULARIALES","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"BOLETALES","0","0","0","0","0","0","2","13","14","29","0","12","51","15","107"
"CANTHARELLALES","0","0","0","0","0","0","0","0","2","2","0","1","39","93","135"
"CORTICIALES","0","0","0","0","0","0","0","0","1","1","0","1","0","0","2"
"GEASTRALES","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5"
"GOMPHALES","0","0","0","0","0","0","2","2","4","8","0","2","7","0","17"
"HYMENOCHAETALES","0","0","0","0","0","0","1","1","6","8","0","1","3","1","13"
"HYSTERANGIALES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"NOT ASSIGNED","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"PHALLALES","0","0","0","0","0","0","0","2","4","6","0","0","0","1","7"
"POLYPORALES","0","0","0","0","0","0","0","8","18","26","0","10","4","3","43"
"RUSSULALES","0","0","0","0","0","0","4","14","6","24","0","4","31","6","65"
"THELEPHORALES","0","0","0","0","0","0","0","1","6","7","0","3","2","1","13"
"ARTHONIALES","0","0","0","0","0","0","5","3","0","8","0","0","0","3","11"
"DACRYMYCETALES","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"MYCOSPHAERELLALES","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"NOT ASSIGNED","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PLEOSPORALES","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"TRYPETHELIALES","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"CHAETOTHYRIALES","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CORYNELIALES","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"EUROTIALES","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4"
"MYCOCALICALES","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PYRENULALES","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ENTYLOMATALES","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"GEOGLOSSALES","0","0","0","0","0","0","0","0","2","2","0","1","0","1","4"
"ACAROSPORALES","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"CALICIALES","0","0","0","0","0","0","1","2","2","5","0","0","0","1","6"
"LECANORALES","0","0","0","1","0","1","7","12","13","32","0","1","23","0","56"
"LECIDEALES","0","0","0","0","0","0","0","0","1","1","0","0","0","1","2"
"NOT ASSIGNED","0","0","0","0","0","0","1","1","0","2","0","0","0","0","2"
"OSTROPALES","0","0","0","0","0","0","4","2","0","6","0","0","1","2","9"
"PELTIGERALES","0","0","0","0","0","0","2","5","5","12","0","1","18","0","31"
"PERTUSARIALES","0","0","0","0","0","0","0","1","0","1","0","0","1","1","3"
"TELOSCHISTALES","0","0","0","0","0","0","2","6","1","9","0","0","1","0","10"
"TRAPELIALES","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"UMBILICARIALES","0","0","0","0","0","0","0","1","0","1","0","0","1","0","2"
"CYTTARIALES","0","0","0","0","0","0","0","0","1","1","0","0","1","0","2"
"HELOTIALES","0","0","0","0","0","0","0","1","0","1","0","1","3","1","6"
"NOT ASSIGNED","0","0","0","0","0","0","1","0","1","2","0","0","0","0","2"
"PEZIZALES","0","0","0","0","0","0","1","1","3","5","0","4","1","2","12"
"AMPHISPHAERIALES","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HYPOCREALES","0","0","0","0","0","0","1","0","1","2","0","0","0","3","5"
"XYLARIALES","0","0","0","0","0","0","1","0","0","1","0","1","1","3","6"
"UROCYSTIDALES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"USTILAGINALES","0","0","0","0","0","0","1","0","2","3","0","0","0","0","3"
"Total","0","0","0","3","0","3","45","108","187","340","0","71","244","163","818"
