"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Antarctica","0","0","0","0","0","0","0","2","8","10","0","6","163","35","214"
"Bouvet Island","0","0","0","0","0","0","0","0","3","3","0","0","94","3","100"
"French Southern Territories","1","0","1","1","0","2","6","12","20","38","0","11","998","61","1,109"
"Heard Island and McDonald Islands","0","0","0","0","0","0","0","4","9","13","0","2","129","7","151"
"South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","5","6","11","0","8","193","12","224"
"Anguilla","1","0","1","0","0","1","25","21","44","90","0","32","1,125","64","1,312"
"Antigua and Barbuda","3","0","3","0","0","3","28","20","46","94","0","37","1,230","63","1,427"
"Aruba","0","0","0","0","0","0","24","20","44","88","0","36","1,115","54","1,293"
"Bahamas","3","0","3","1","0","4","32","35","59","126","0","53","1,694","113","1,989"
"Barbados","1","0","1","3","0","4","29","21","43","93","0","37","1,239","65","1,435"
"Bermuda","5","0","5","1","1","7","38","18","35","91","0","30","910","69","1,105"
"Bonaire, Sint Eustatius and Saba","1","0","1","0","0","1","29","16","50","95","0","37","1,228","68","1,429"
"Cayman Islands","1","0","1","0","0","1","29","27","38","94","0","43","1,140","63","1,341"
"Cuba","7","0","7","4","0","11","55","88","88","231","0","81","1,791","135","2,245"
"Curaçao","0","0","0","0","0","0","27","20","40","87","0","35","1,129","70","1,321"
"Dominica","1","0","1","1","0","2","27","23","45","95","0","44","1,265","66","1,471"
"Dominican Republic","8","0","8","7","0","15","52","76","78","206","0","77","1,457","74","1,822"
"Grenada","0","0","0","0","0","0","28","20","47","95","0","37","1,238","68","1,438"
"Guadeloupe","7","0","7","5","0","12","33","26","47","106","0","44","1,193","63","1,413"
"Haiti","9","0","9","14","0","23","91","62","77","230","0","66","1,393","71","1,769"
"Jamaica","4","0","4","5","0","9","42","50","58","150","0","55","1,334","70","1,613"
"Martinique","6","0","6","3","0","9","27","24","43","94","0","38","1,204","60","1,402"
"Montserrat","0","0","0","1","0","1","25","18","45","88","0","37","1,127","54","1,306"
"Puerto Rico","5","0","5","6","0","11","37","33","56","126","0","52","1,507","87","1,777"
"Saint Barthélemy","0","0","0","0","0","0","23","14","35","72","0","26","803","35","936"
"Saint Kitts and Nevis","1","0","1","0","0","1","27","18","46","91","0","38","1,178","60","1,368"
"Saint Lucia","3","0","3","0","0","3","26","27","43","96","0","39","1,224","57","1,419"
"Saint Martin (French part)","0","0","0","1","0","1","25","17","43","85","0","30","1,024","61","1,200"
"Saint Vincent and the Grenadines","1","0","1","0","0","1","25","22","47","94","0","38","1,255","64","1,452"
"Sint Maarten (Dutch part)","0","0","0","1","0","1","25","17","42","84","0","27","1,002","54","1,167"
"Trinidad and Tobago","0","0","0","0","0","0","31","25","56","112","1","50","1,953","87","2,203"
"Turks and Caicos Islands","0","0","0","0","0","0","23","20","46","89","0","40","1,145","61","1,335"
"Virgin Islands, British","0","0","0","2","0","2","30","23","47","100","0","39","1,243","69","1,451"
"Virgin Islands, U.S.","1","0","1","5","0","6","27","25","46","98","0","39","1,274","72","1,484"
"China","7","2","9","26","0","35","179","327","409","915","0","252","5,056","1,224","7,456"
"Hong Kong","0","0","0","1","0","1","16","52","53","121","0","32","1,217","93","1,463"
"Japan","14","1","15","1","0","16","61","331","204","596","0","156","4,108","517","5,392"
"Korea, Democratic People's Republic of","1","0","1","0","0","1","9","33","61","103","0","40","804","71","1,019"
"Korea, Republic of","2","0","2","0","0","2","19","68","82","169","0","68","1,498","155","1,892"
"Macao","0","0","0","0","0","0","5","33","18","56","0","6","600","36","698"
"Mongolia","0","0","0","0","0","0","4","11","24","39","0","30","587","11","667"
"Taiwan, Province of China","0","0","0","0","0","0","34","241","149","424","0","93","3,623","333","4,473"
"Åland Islands","0","0","0","0","0","0","0","0","0","0","0","0","24","1","25"
"Albania","1","0","1","1","0","2","28","65","79","172","0","109","1,040","67","1,389"
"Andorra","0","0","0","0","0","0","0","4","14","18","0","22","304","6","350"
"Austria","3","0","3","4","0","7","29","67","55","151","0","92","906","66","1,218"
"Belgium","1","0","1","0","0","1","6","14","42","62","0","64","747","38","912"
"Bosnia and Herzegovina","0","0","0","0","0","0","13","58","72","143","0","75","956","85","1,259"
"Bulgaria","2","0","2","0","0","2","17","34","80","131","0","97","991","66","1,287"
"Croatia","0","0","0","2","0","2","38","66","114","218","0","117","1,256","116","1,707"
"Czechia","0","0","0","0","0","0","3","28","40","71","0","64","745","41","921"
"Denmark","0","0","0","0","0","0","7","9","48","64","0","59","713","29","865"
"Estonia","0","0","0","0","0","0","2","6","22","30","0","33","529","8","600"
"Faroe Islands","1","0","1","0","0","1","5","6","24","35","0","27","305","20","388"
"Finland","0","0","0","0","0","0","4","6","28","38","0","48","564","14","664"
"France","8","0","8","7","0","15","40","127","206","373","0","203","2,044","281","2,909"
"Germany","5","0","5","5","0","10","20","69","74","163","0","106","995","80","1,349"
"Gibraltar","0","0","0","0","0","0","9","14","41","64","0","35","532","30","661"
"Greece","5","0","5","10","0","15","83","185","244","512","0","194","1,619","249","2,579"
"Greenland","1","0","1","0","0","1","2","5","23","30","0","15","216","19","281"
"Guernsey","0","0","0","0","0","0","1","2","14","17","0","9","190","11","227"
"Holy See (Vatican City State)","0","0","0","0","0","0","0","0","3","3","0","3","21","1","28"
"Hungary","0","0","0","0","0","0","8","28","46","82","0","59","740","44","925"
"Iceland","1","0","1","0","0","1","5","8","27","40","0","29","360","29","459"
"Ireland","1","0","1","0","0","1","9","14","49","72","0","53","800","63","989"
"Isle of Man","0","0","0","0","0","0","1","3","7","11","0","11","76","5","103"
"Italy","3","0","3","5","0","8","59","150","205","414","0","222","1,656","252","2,547"
"Jersey","0","0","0","0","0","0","1","2","16","19","0","10","200","11","240"
"Latvia","0","0","0","0","0","0","2","7","30","39","0","45","574","15","673"
"Liechtenstein","0","0","0","0","0","0","0","3","10","13","0","29","421","7","470"
"Lithuania","0","0","0","0","0","0","2","5","23","30","0","42","556","14","642"
"Luxembourg","0","0","0","0","0","0","1","5","13","19","0","28","468","11","526"
"Malta","0","0","0","0","0","0","12","16","43","71","0","34","567","42","714"
"Monaco","0","0","0","0","0","0","10","9","33","52","0","20","390","24","486"
"Montenegro","1","0","1","0","0","1","24","68","80","172","0","105","1,036","73","1,387"
"Netherlands","1","0","1","0","0","1","8","9","45","62","0","67","781","36","947"
"North Macedonia","2","0","2","3","0","5","23","55","66","144","0","70","744","37","997"
"Norway","0","0","0","0","0","0","11","15","50","76","0","67","690","30","863"
"Poland","1","0","1","0","0","1","4","27","44","75","0","65","781","36","958"
"Portugal","6","0","6","17","0","23","115","119","152","386","0","182","1,735","313","2,622"
"Romania","3","1","4","1","0","5","19","52","84","155","0","79","980","73","1,291"
"San Marino","0","0","0","0","0","0","1","0","6","7","0","6","61","3","77"
"Serbia","0","0","0","0","0","0","11","42","60","113","0","75","876","25","1,089"
"Slovakia","0","0","0","0","0","0","8","26","42","76","0","67","767","44","954"
"Slovenia","0","0","0","0","0","0","19","45","123","187","0","72","1,125","82","1,466"
"Spain","3","0","3","11","0","14","81","183","250","514","0","320","2,220","486","3,543"
"Svalbard and Jan Mayen","0","0","0","0","0","0","0","2","11","13","0","9","76","3","101"
"Sweden","1","0","1","0","0","1","5","11","46","62","0","74","717","30","884"
"Switzerland","7","0","7","0","0","7","6","53","82","141","0","92","828","57","1,125"
"United Kingdom","4","0","4","2","0","6","17","23","76","116","0","79","1,022","65","1,286"
"Belize","1","0","1","0","0","1","26","35","68","129","0","68","2,090","90","2,378"
"Costa Rica","4","0","4","9","0","13","61","102","154","317","0","123","3,534","237","4,215"
"El Salvador","0","0","0","0","0","0","10","33","62","105","0","51","1,637","85","1,878"
"Guatemala","3","0","3","5","0","8","67","111","143","321","0","103","2,933","168","3,528"
"Honduras","4","0","4","10","0","14","84","91","117","292","0","98","3,087","153","3,634"
"Mexico","20","9","29","36","3","68","230","370","390","990","1","279","5,106","592","6,997"
"Nicaragua","1","0","1","0","0","1","44","46","102","192","0","93","2,996","157","3,439"
"Panama","2","0","2","7","1","10","73","103","136","312","0","129","3,636","298","4,377"
"Algeria","2","0","2","0","2","4","27","45","87","159","0","61","959","130","1,311"
"Egypt","1","0","1","0","0","1","21","153","105","279","0","57","1,986","177","2,500"
"Libya","0","0","0","0","0","0","16","21","53","90","0","37","716","59","902"
"Morocco","4","0","4","0","0","4","48","76","110","234","0","83","1,494","165","1,980"
"Tunisia","12","0","12","1","0","13","24","28","69","121","0","57","872","90","1,152"
"Western Sahara","0","0","0","0","0","0","13","27","51","91","0","43","966","95","1,195"
"Canada","8","0","8","3","0","11","18","34","100","152","0","88","1,968","97","2,313"
"Saint Pierre and Miquelon","0","0","0","0","0","0","2","6","24","32","0","21","373","17","443"
"United States","231","4","235","44","0","279","276","358","579","1,213","5","378","5,970","640","8,441"
"Belarus","0","0","0","0","0","0","5","5","26","36","0","41","490","8","575"
"Moldova","0","0","0","0","0","0","7","8","20","35","0","28","463","5","531"
"Russian Federation","3","0","3","3","0","6","34","56","123","213","0","139","1,960","237","2,552"
"Ukraine","1","0","1","1","0","2","12","38","60","110","0","79","920","74","1,184"
"American Samoa","1","0","1","0","0","1","3","140","49","192","0","17","1,414","55","1,679"
"Australia","42","0","42","6","0","48","156","446","512","1,114","0","304","6,602","696","8,758"
"Christmas Island","4","2","6","1","0","7","3","70","29","102","0","8","1,052","28","1,196"
"Cocos (Keeling) Islands","0","0","0","0","0","0","2","66","24","92","0","8","938","27","1,065"
"Cook Islands","15","0","15","0","0","15","2","101","38","141","0","17","1,111","50","1,334"
"Fiji","1","0","1","6","0","7","30","226","111","367","0","53","2,136","140","2,697"
"French Polynesia","54","10","64","11","0","75","50","119","64","233","0","22","1,441","114","1,874"
"Guam","5","1","6","0","0","6","6","112","52","170","0","32","1,420","102","1,730"
"Kiribati","1","0","1","0","0","1","0","156","46","202","0","18","1,438","60","1,719"
"Marshall Islands","0","0","0","0","0","0","2","159","49","210","0","23","1,503","64","1,800"
"Micronesia, Federated States of","3","0","3","1","0","4","7","190","68","265","0","34","1,930","118","2,350"
"Nauru","0","0","0","0","0","0","1","143","38","182","0","14","1,155","35","1,386"
"New Caledonia","5","0","5","3","0","8","46","225","108","379","0","45","2,551","197","3,177"
"New Zealand","23","0","23","8","0","31","46","80","124","250","0","59","1,124","213","1,669"
"Niue","0","0","0","0","0","0","1","100","36","137","0","15","977","33","1,162"
"Norfolk Island","9","0","9","0","0","9","1","34","33","68","0","10","670","29","786"
"Northern Mariana Islands","3","0","3","0","0","3","5","111","52","168","0","34","1,481","70","1,756"
"Palau","1","0","1","13","0","14","30","202","67","299","0","36","2,279","100","2,715"
"Papua New Guinea","1","0","1","3","0","4","69","289","184","542","0","134","4,728","545","5,950"
"Pitcairn","0","0","0","0","0","0","1","49","21","71","0","8","575","28","682"
"Samoa","2","0","2","0","0","2","6","140","46","192","0","18","1,529","73","1,814"
"Solomon Islands","2","0","2","3","0","5","19","224","84","327","0","61","2,663","135","3,188"
"Tokelau","0","0","0","0","0","0","1","93","30","124","0","14","980","30","1,148"
"Tonga","2","0","2","2","0","4","13","124","52","189","0","20","1,634","62","1,907"
"Tuvalu","0","0","0","0","0","0","3","154","36","193","0","15","1,222","40","1,470"
"United States Minor Outlying Islands","1","0","1","0","0","1","4","104","41","149","0","23","1,302","43","1,518"
"Vanuatu","1","0","1","0","0","1","3","175","59","237","0","24","2,118","93","2,473"
"Wallis and Futuna","0","0","0","0","0","0","3","131","37","171","0","15","1,371","47","1,604"
"Argentina","3","3","6","7","0","13","51","93","154","298","0","137","2,706","186","3,333"
"Bolivia, Plurinational States of","0","0","0","9","0","9","36","42","105","183","2","94","3,037","131","3,447"
"Brazil","12","2","14","44","0","58","263","378","441","1,082","9","337","8,140","1,033","10,615"
"Chile","1","0","1","3","0","4","27","85","93","205","0","70","1,299","189","1,764"
"Colombia","1","0","1","43","0","44","149","252","374","775","2","274","6,483","613","8,148"
"Ecuador","7","0","7","55","0","62","162","229","288","679","2","191","4,187","393","5,459"
"Falkland Islands (Malvinas)","1","0","1","0","0","1","0","8","13","21","0","11","283","17","333"
"French Guiana","0","0","0","0","0","0","18","28","57","103","1","46","2,472","98","2,720"
"Guyana","0","0","0","3","0","3","13","54","79","146","2","56","2,909","114","3,227"
"Paraguay","0","3","3","2","0","5","6","17","52","75","0","69","1,474","44","1,665"
"Peru","1","0","1","11","0","12","61","156","211","428","2","192","4,840","481","5,944"
"Suriname","0","0","0","1","0","1","11","29","56","96","0","59","2,619","102","2,876"
"Uruguay","2","0","2","2","0","4","20","44","67","131","0","63","1,220","69","1,485"
"Venezuela, Bolivarian Republic of","1","0","1","14","0","15","91","147","199","437","1","178","4,794","337","5,748"
"Bangladesh","0","0","0","0","0","0","43","73","84","200","0","80","1,784","110","2,174"
"Bhutan","0","0","0","0","0","0","8","19","37","64","0","47","824","13","948"
"British Indian Ocean Territory","0","0","0","0","0","0","4","135","36","175","0","12","1,202","36","1,425"
"Brunei Darussalam","0","0","0","0","0","0","15","248","133","396","0","125","2,200","98","2,819"
"Cambodia","0","0","0","1","0","1","45","189","130","364","0","87","2,433","183","3,067"
"Disputed Territory","0","0","0","0","0","0","2","149","40","191","0","9","1,527","40","1,767"
"India","0","0","0","6","0","6","118","470","395","983","0","279","5,010","991","7,263"
"Indonesia","4","0","4","21","3","28","197","569","526","1,292","0","502","7,434","1,515","10,747"
"Lao People's Democratic Republic","1","0","1","2","0","3","45","57","103","205","0","98","1,593","234","2,131"
"Malaysia","1","0","1","11","0","12","107","392","324","823","0","307","4,859","487","6,477"
"Maldives","0","0","0","0","0","0","7","134","43","184","0","26","1,553","78","1,841"
"Myanmar","0","0","0","1","0","1","49","232","151","432","0","169","3,633","443","4,677"
"Nepal","0","0","0","0","0","0","15","29","57","101","0","71","1,352","68","1,592"
"Philippines","15","0","15","8","0","23","66","405","284","755","0","198","4,567","671","6,206"
"Singapore","1","0","1","0","0","1","25","232","104","361","0","92","2,242","132","2,828"
"Sri Lanka","18","0","18","5","0","23","119","311","153","583","0","95","2,335","161","3,192"
"Thailand","2","0","2","4","0","6","68","290","224","582","0","222","4,450","511","5,767"
"Timor-Leste","0","0","0","0","0","0","8","218","60","286","0","37","2,182","77","2,582"
"Viet Nam","1","0","1","9","0","10","98","349","248","695","0","139","3,898","665","5,398"
"Angola","0","0","0","0","0","0","25","54","87","166","0","69","2,953","211","3,399"
"Benin","0","0","0","0","0","0","26","37","58","121","0","54","1,922","95","2,192"
"Botswana","0","0","0","0","0","0","4","11","19","34","0","25","1,348","6","1,413"
"Burkina Faso","0","0","0","0","0","0","8","14","14","36","0","20","933","9","998"
"Burundi","0","0","0","0","0","0","5","20","35","60","0","35","1,170","36","1,301"
"Cabo Verde","1","0","1","0","0","1","12","26","45","83","0","34","918","88","1,124"
"Cameroon","0","0","0","6","0","6","86","134","129","349","0","84","2,972","200","3,605"
