"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bouvet Island","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"French Southern Territories","0","0","0","0","0","0","0","2","0","2","0","0","11","0","13"
"Heard Island and McDonald Islands","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","0","0","0","0","0","15","0","15"
"Anguilla","0","0","0","0","0","0","1","1","1","3","0","1","164","0","168"
"Antigua and Barbuda","0","0","0","0","0","0","0","1","1","2","0","3","274","2","281"
"Aruba","0","0","0","0","0","0","0","2","3","5","0","4","94","1","104"
"Bahamas","0","0","0","0","0","0","4","13","12","29","0","17","354","5","405"
"Barbados","0","0","0","0","0","0","0","1","3","4","0","0","212","3","219"
"Bermuda","0","1","1","0","0","1","2","5","1","8","0","1","124","1","135"
"Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","1","2","4","7","0","5","242","0","254"
"Cayman Islands","0","0","0","0","0","0","11","7","5","23","0","4","225","5","257"
"Cuba","10","1","11","14","0","25","119","136","127","382","0","29","948","32","1,402"
"Curaçao","0","0","0","0","0","0","0","2","3","5","0","6","126","1","138"
"Dominica","0","0","0","0","0","0","1","5","14","20","0","7","352","2","381"
"Dominican Republic","0","0","0","1","0","1","16","62","94","172","0","33","728","16","949"
"Grenada","0","0","0","0","0","0","0","2","5","7","0","7","263","1","278"
"Guadeloupe","0","0","0","0","0","0","0","7","13","20","0","6","374","6","406"
"Haiti","0","0","0","29","0","29","94","103","100","297","0","33","698","35","1,063"
"Jamaica","2","0","2","0","0","2","42","56","115","213","0","79","582","10","886"
"Martinique","0","0","0","0","0","0","0","6","13","19","0","5","355","5","384"
"Montserrat","0","0","0","1","0","1","3","1","4","8","0","2","254","2","266"
"Puerto Rico","2","0","2","0","0","2","25","46","40","111","0","28","589","5","735"
"Saint Barthélemy","0","0","0","0","0","0","0","1","1","2","0","1","149","0","152"
"Saint Kitts and Nevis","0","0","0","0","0","0","0","2","3","5","0","2","213","2","222"
"Saint Lucia","0","0","0","0","0","0","0","5","11","16","0","3","303","1","323"
"Saint Martin (French part)","0","0","0","0","0","0","0","1","1","2","0","1","197","1","201"
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","2","6","8","0","5","319","3","335"
"Sint Maarten (Dutch part)","0","0","0","0","0","0","0","1","0","1","0","1","125","0","127"
"Trinidad and Tobago","0","0","0","6","0","6","15","23","26","64","0","12","676","14","766"
"Turks and Caicos Islands","0","0","0","0","0","0","1","7","3","11","0","7","158","3","179"
"Virgin Islands, British","0","0","0","0","0","0","2","16","8","26","0","13","284","1","324"
"Virgin Islands, U.S.","0","0","0","0","0","0","2","12","9","23","0","13","314","1","351"
"China","4","0","4","9","4","17","136","381","314","831","3","117","3,223","263","4,441"
"Hong Kong","0","0","0","0","0","0","3","7","7","17","0","6","354","4","381"
"Japan","0","0","0","0","0","0","24","27","25","76","0","18","811","33","938"
"Korea, Democratic People's Republic of","0","0","0","0","0","0","1","12","7","20","0","3","291","15","329"
"Korea, Republic of","0","0","0","0","0","0","6","21","11","38","0","8","385","28","459"
"Macao","0","0","0","0","0","0","0","0","0","0","0","0","37","0","37"
"Mongolia","0","0","0","0","0","0","1","0","0","1","0","2","228","10","241"
"Taiwan, Province of China","0","1","1","2","1","4","17","45","30","92","0","26","774","15","908"
"Åland Islands","0","0","0","0","0","0","0","0","1","1","0","0","12","0","13"
"Albania","0","0","0","0","0","0","1","0","4","5","0","6","494","32","537"
"Andorra","0","0","0","0","0","0","0","0","1","1","0","1","125","7","134"
"Austria","0","0","0","0","0","0","6","17","15","38","0","10","482","30","560"
"Belgium","0","1","1","0","0","1","0","1","2","3","0","5","369","13","391"
"Bosnia and Herzegovina","0","0","0","0","0","0","1","2","2","5","0","7","372","22","406"
"Bulgaria","0","0","0","0","0","0","1","4","8","13","0","10","514","51","588"
"Croatia","1","0","1","0","0","1","1","6","3","10","0","11","517","36","575"
"Czechia","0","0","0","0","0","0","10","14","7","31","0","5","411","25","472"
"Denmark","0","0","0","0","0","0","0","0","2","2","0","4","322","9","337"
"Estonia","0","0","0","0","0","0","1","0","1","2","0","1","257","4","264"
"Faroe Islands","0","0","0","0","0","0","0","0","1","1","0","0","88","0","89"
"Finland","0","0","0","0","0","0","0","1","3","4","0","2","329","10","345"
"France","1","1","2","0","0","2","8","25","33","66","0","44","818","40","970"
"Germany","0","0","0","0","0","0","17","18","16","51","0","14","487","25","577"
"Gibraltar","0","0","0","0","0","0","0","0","1","1","0","0","41","1","43"
"Greece","3","0","3","1","0","4","40","82","95","217","0","98","770","86","1,174"
"Greenland","0","0","0","0","0","0","0","0","1","1","0","0","125","0","126"
"Guernsey","0","0","0","0","0","0","0","0","0","0","0","0","66","0","66"
"Holy See (Vatican City State)","0","0","0","0","0","0","0","0","0","0","0","0","12","0","12"
"Hungary","0","0","0","0","0","0","13","14","18","45","0","5","398","30","478"
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","145","2","147"
"Ireland","0","0","0","0","0","0","2","2","5","9","0","9","313","3","334"
"Isle of Man","0","0","0","0","0","0","0","1","0","1","0","0","74","0","75"
"Italy","0","0","0","1","0","1","41","43","37","121","0","58","821","68","1,068"
"Jersey","0","0","0","0","0","0","0","0","0","0","0","0","70","0","70"
"Latvia","0","0","0","0","0","0","1","0","0","1","0","2","237","6","246"
"Liechtenstein","0","0","0","0","0","0","0","1","0","1","0","1","205","10","217"
"Lithuania","0","0","0","0","0","0","0","1","1","2","0","2","239","8","251"
"Luxembourg","0","1","1","0","0","1","0","1","2","3","0","2","229","9","244"
"Malta","0","0","0","0","0","0","2","1","1","4","0","3","175","8","190"
"Monaco","0","0","0","0","0","0","0","1","1","2","0","0","40","1","43"
"Montenegro","0","0","0","0","0","0","1","2","3","6","0","10","373","17","406"
"Netherlands","0","0","0","0","0","0","0","1","2","3","0","2","342","10","357"
"North Macedonia","0","0","0","0","0","0","0","2","4","6","0","6","376","31","419"
"Norway","0","0","0","0","0","0","1","8","11","20","0","6","372","10","408"
"Poland","0","0","0","0","0","0","1","4","11","16","0","10","420","16","462"
"Portugal","3","0","3","0","0","3","32","56","53","141","0","61","581","40","826"
"Romania","0","0","0","0","0","0","1","8","5","14","0","10","455","47","526"
"San Marino","0","0","0","0","0","0","0","0","0","0","0","0","31","0","31"
"Serbia","0","0","0","0","0","0","0","6","3","9","0","10","418","37","474"
"Slovakia","0","0","0","0","0","0","9","13","10","32","0","7","333","32","404"
"Slovenia","0","0","0","0","0","0","1","5","6","12","0","10","451","25","498"
"Spain","1","1","2","1","0","3","84","119","89","292","1","89","865","46","1,295"
"Svalbard and Jan Mayen","0","0","0","0","0","0","0","1","0","1","0","0","42","0","43"
"Sweden","0","0","0","0","0","0","1","4","7","12","0","9","404","14","439"
"Switzerland","0","0","0","0","0","0","3","7","10","20","0","11","461","21","513"
"United Kingdom","0","1","1","0","0","1","21","16","17","54","0","12","423","17","507"
"Belize","0","0","0","0","0","0","4","53","57","114","0","38","1,191","9","1,352"
"Costa Rica","0","0","0","0","0","0","37","229","197","463","0","237","2,377","26","3,103"
"El Salvador","0","0","0","1","0","1","6","49","53","108","0","37","973","7","1,125"
"Guatemala","0","0","0","0","0","0","72","237","170","479","0","93","1,781","18","2,371"
"Honduras","0","0","0","1","0","1","40","100","78","218","0","74","1,663","14","1,969"
"Mexico","4","3","7","10","3","20","256","818","555","1,629","0","234","3,347","200","5,417"
"Nicaragua","0","0","0","0","0","0","5","64","60","129","0","88","1,771","10","1,998"
"Panama","0","0","0","1","1","2","17","107","157","281","1","144","2,513","179","3,118"
"Algeria","0","0","0","0","0","0","6","9","16","31","0","36","451","15","533"
"Egypt","0","0","0","0","0","0","5","7","1","13","0","2","334","5","354"
"Libya","0","0","0","0","0","0","1","2","5","8","0","8","227","3","246"
"Morocco","0","0","0","0","0","0","4","27","27","58","0","46","485","20","609"
"Tunisia","0","0","0","0","0","0","3","3","6","12","0","25","314","9","360"
"Western Sahara","0","0","0","0","0","0","0","0","1","1","0","0","34","0","35"
"Canada","1","0","1","0","0","1","6","6","9","21","0","17","1,025","18","1,082"
"Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0","0","50","0","50"
"United States","36","6","42","14","12","68","359","249","141","749","0","87","2,120","53","3,051"
"Belarus","0","0","0","0","0","0","1","1","0","2","0","2","245","13","262"
"Moldova","0","0","0","0","0","0","0","0","2","2","0","4","210","13","229"
"Russian Federation","0","0","0","0","0","0","8","31","29","68","0","26","702","59","855"
"Ukraine","1","0","1","0","0","1","3","14","12","29","0","8","437","51","526"
"American Samoa","0","0","0","0","0","0","0","1","2","3","0","3","114","1","121"
"Australia","4","0","4","2","0","6","116","291","391","798","2","260","3,312","117","4,493"
"Christmas Island","0","0","0","0","0","0","0","0","2","2","0","1","63","0","66"
"Cocos (Keeling) Islands","0","0","0","0","0","0","0","0","0","0","0","0","25","0","25"
"Cook Islands","1","0","1","0","0","1","9","2","2","13","0","1","72","3","90"
"Fiji","0","0","0","5","1","6","70","87","37","194","0","47","527","54","822"
"French Polynesia","6","1","7","0","0","7","107","133","53","293","0","38","166","55","559"
"Guam","0","0","0","0","0","0","1","2","2","5","0","1","66","1","73"
"Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","43","1","44"
"Marshall Islands","0","0","0","0","0","0","0","0","0","0","0","1","46","0","47"
"Micronesia, Federated States of","0","0","0","0","0","0","4","5","7","16","0","4","153","12","185"
"Nauru","0","0","0","0","0","0","0","0","0","0","0","0","30","0","30"
"New Caledonia","4","0","4","10","0","14","159","297","270","726","4","208","736","56","1,734"
"New Zealand","6","0","6","0","0","6","4","5","12","21","2","19","133","2","183"
"Niue","0","0","0","0","0","0","0","2","0","2","0","0","71","0","73"
"Norfolk Island","1","0","1","0","0","1","1","0","1","2","0","1","29","0","33"
"Northern Mariana Islands","0","0","0","0","0","0","2","2","3","7","0","1","80","0","88"
"Palau","0","0","0","1","0","1","1","4","4","9","0","3","138","6","156"
"Papua New Guinea","0","0","0","37","1","38","179","348","218","745","0","187","2,274","469","3,675"
"Pitcairn","0","1","1","0","0","1","4","2","4","10","0","0","26","0","37"
"Samoa","0","0","0","2","0","2","6","4","5","15","0","4","162","11","192"
"Solomon Islands","0","0","0","3","0","3","6","22","34","62","0","32","555","57","706"
"Tokelau","0","0","0","0","0","0","0","0","0","0","0","0","19","0","19"
"Tonga","0","0","0","0","0","0","1","3","6","10","0","1","158","2","171"
"Tuvalu","0","0","0","0","0","0","0","0","0","0","0","0","30","0","30"
"United States Minor Outlying Islands","0","0","0","0","0","0","0","0","0","0","0","0","26","0","26"
"Vanuatu","0","0","0","0","0","0","7","13","11","31","1","11","285","5","333"
"Wallis and Futuna","0","0","0","0","0","0","0","2","1","3","0","0","98","0","101"
"Argentina","0","1","1","0","0","1","9","25","46","80","0","34","959","27","1,101"
"Bolivia, Plurinational States of","1","4","5","1","1","7","35","183","221","439","0","97","2,785","132","3,458"
"Brazil","4","2","6","8","2","16","246","644","478","1,368","12","254","5,818","478","7,936"
"Chile","1","4","5","0","0","5","36","44","30","110","1","16","270","8","410"
"Colombia","1","4","5","3","1","9","244","450","355","1,049","2","215","5,675","230","7,176"
"Ecuador","3","6","9","47","0","56","277","806","991","2,074","1","309","3,469","366","6,228"
"Falkland Islands (Malvinas)","0","0","0","0","0","0","0","5","0","5","0","1","21","1","28"
