,,,Birds (),Reptiles (),Amphibians (),Fishes (),"Subtotal
(Vertebrates) ()",Insects (INVERTEBRATES),Molluscs (INVERTEBRATES),Crustaceans (INVERTEBRATES),Corals (INVERTEBRATES),Arachnids (INVERTEBRATES),"Velvet
worms (INVERTEBRATES)","Horseshoe
crabs (INVERTEBRATES)","Other
invertebrates (INVERTEBRATES)","Subtotal
(Invertebrates) (INVERTEBRATES)",Mosses (PLANTS4),"Ferns &
allies (PLANTS4)",Gymnosperms (PLANTS4),"Flowering
plants (PLANTS4)","Green
algae (PLANTS4)","Red
algae (PLANTS4)","Subtotal
(Plants) (PLANTS4)",Lichens (FUNGI & PROTISTS),Mushrooms (FUNGI & PROTISTS),"Brown
algae (FUNGI & PROTISTS)","Subtotal
(Fungi & protists) (FUNGI & PROTISTS)",
"2024
(version 2024-2)",Total assessed,"5,991","11,195","10,311","8,009","28,255","63,761","12,747","9,127","3,213",927,787,11,4,"1,090","27,906",327,822,"1,061","71,253",17,78,"73,558",124,694,18,836,"166,061"
,Total threatened,"1,354","1,311","1,845","2,873","4,017","11,400","2,423","2,456",748,334,283,9,2,177,"6,432",181,322,450,"27,197",0,9,"28,159",72,268,6,346,"46,337"
"2023
(version 2023-1)",Total assessed,"5,980","11,197","10,254","8,020","27,042","62,493","12,568","9,063","3,207",830,591,11,4,"1,089","27,363",327,814,"1,059","64,240",17,78,"66,535",121,660,18,799,"157,190"
,Total threatened,"1,339","1,354","1,848","2,876","3,778","11,195","2,361","2,409",746,253,268,9,2,173,"6,221",181,316,450,"25,320",0,9,"26,276",70,248,6,324,"44,016"
"2022
(version 2022-2)",Total assessed,"5,973","11,188","10,222","7,486","25,351","60,220","12,441","9,032","3,197",831,441,11,4,905,"26,862",329,747,"1,046","60,470",16,58,"62,666",86,539,15,640,"150,388"
,Total threatened,"1,340","1,400","1,842","2,606","3,551","10,739","2,345","2,399",745,253,251,9,2,157,"6,161",181,288,436,"24,000",0,9,"24,914",62,226,6,294,"42,108"
"2021
(version 2021-3)",Total assessed,"5,968","11,162","10,148","7,296","22,581","57,155","12,100","9,019","3,189",848,441,11,4,902,"26,514",282,739,"1,016","56,232",16,58,"58,343",76,474,15,565,"142,577"
,Total threatened,"1,333","1,445","1,839","2,488","3,332","10,437","2,270","2,385",743,232,251,9,2,150,"6,042",165,281,403,"22,477",0,9,"23,335",56,208,6,270,"40,084"
"2020
(version 2020-3)",Total assessed,"5,932","11,158","8,236","7,166","21,415","53,907","10,105","8,847","3,188",864,358,11,4,842,"24,219",282,674,"1,016","48,323",16,58,"50,369",55,353,15,423,"128,918"
,Total threatened,"1,317","1,481","1,449","2,390","3,040","9,677","1,848","2,300",742,237,203,9,2,148,"5,489",165,265,403,"19,518",0,9,"20,360",48,185,6,239,"35,765"
