Group,Scientific name,Common name,IUCN Red List (2023) Category,IUCN Red List (2024) Category,Reason for change,Red List version
MAMMALS,Arvicola sapidus,Southern Water Vole,VU,NT,N,2024-2
MAMMALS,Bos javanicus,Banteng,EN,CR,G,2024-2
MAMMALS,Bunomys karokophilus,Karoko Hill Rat,DD,VU,N,2024-2
MAMMALS,Bunomys prolatus,Tambusisi Hill Rat,EN,VU,N,2024-2
MAMMALS,Bunomys torajae,Tana Toraja Hill Rat,DD,NT,N,2024-2
MAMMALS,Cacajao calvus,White Bald-headed Uakari,VU,LC,N,2024-1
MAMMALS,Coendou speratus,Dwarf Porcupine,EN,VU,N,2024-2
MAMMALS,Crateromys australis,Dinagat Bushy-tailed Cloud Rat,DD,EN,N,2024-2
MAMMALS,Crocidura grandiceps,Large-headed Forest Shrew,NT,LC,N,2024-1
MAMMALS,Crocidura phuquocensis,Phu Quoc White-toothed Shrew,DD,VU,N,2024-2
MAMMALS,Crocidura sokolovi,Sokolov White-toothed Shrew,DD,NT,N,2024-2
MAMMALS,Crocidura stenocephala,Kahuzi Swamp Shrew,EN,VU,N,2024-1
MAMMALS,Crunomys celebensis,Sulawesi Shrew Mouse,DD,NT,N,2024-2
MAMMALS,Cryptotis oreoryctes,Highland Broad-clawed Shrew,DD,EN,N,2024-2
MAMMALS,Ctenomys ibicuiensis,Ibicui Tuco-tuco,DD,NT,N,2024-2
MAMMALS,Dendromus lachaisei,Lachaise's African Climbing Mous,DD,VU,N,2024-2
MAMMALS,Echiothrix centrosa,Central Sulawesi Spiny Rat,NT,VU,G,2024-2
MAMMALS,Echiothrix leucura,Northern Sulawesi Spiny Rat,EN,VU,N,2024-2
MAMMALS,Eliomys quercinus,Garden Dormouse,NT,VU,N,2024-2
MAMMALS,Erinaceus europaeus,Western European Hedgehog,LC,NT,G,2024-2
MAMMALS,Eropeplus canus,Sulawesi Soft-furred Rat,VU,LC,N,2024-2
MAMMALS,Euroscaptor subanura,Vietnamese Mole,DD,LC,N,2024-2
MAMMALS,Geocapromys ingrahami,Bahamian Hutia,VU,CR,G,2024-2
MAMMALS,Hyosciurus ileile,Lowland Long-nosed Squirrel,VU,LC,N,2024-2
MAMMALS,Leopoldamys diwangkarai,Diwangkara's Long-tailed Giant Rat,DD,LC,N,2024-2
MAMMALS,Lynx pardinus,Iberian Lynx,EN,VU,G,2024-1
MAMMALS,Margaretamys beccarii,Beccari's Margareta Rat,DD,LC,N,2024-2
MAMMALS,Margaretamys christinae,Christina's Margareta Rat,EN,VU,N,2024-2
MAMMALS,Margaretamys elegans,Elegant Margareta Rat,NT,VU,N,2024-2
MAMMALS,Maxomys dollmani,Dollman's Sulawesi Spiny Rat,DD,LC,N,2024-2
MAMMALS,Maxomys wattsi,Watts's Sulawesi Spiny Rat,EN,VU,N,2024-2
MAMMALS,Melasmothrix naso,Diurnal Sulawesian Shrew Rat,DD,NT,N,2024-2
MAMMALS,Melomys fulgens,Seram Long-tailed Mosaic-tailed Rat,DD,VU,N,2024-2
MAMMALS,Mesocricetus newtoni,Romanian Hamster,NT,VU,N,2024-2
MAMMALS,Myosorex jejei,Kahuzi Mouse Shrew,VU,NT,N,2024-2
MAMMALS,Nannospalax leucodon,Lesser Blind Mole Rat,DD,LC,N,2024-2
MAMMALS,Neodon linzhiensis,Linzhi Mountain Vole,DD,LC,N,2024-2
MAMMALS,Paucidentomys vermidax,Edented Sulawesi Rat,DD,NT,N,2024-2
MAMMALS,Petaurista mechukaensis,Mechuka Giant Flying Squirrel,DD,NT,N,2024-2
MAMMALS,Phyllotis alisosiensis,Andean Alder Leaf-eared Mouse,DD,EN,N,2024-2
MAMMALS,Plagiodontia aedium,Cuvier's Hutia,EN,LC,N,2024-1
MAMMALS,Prosciurillus abstrusus,Secretive Dwarf Squirrel,DD,NT,N,2024-2
MAMMALS,Prosciurillus rosenbergii,Sanghir Squirrel,LC,EN,N,2024-2
MAMMALS,Prosciurillus weberi,Weber's Dwarf Squirrel,EN,VU,N,2024-2
MAMMALS,Pseudohydromys sandrae,White-bellied Moss Mouse,DD,LC,N,2024-2
MAMMALS,Pseudomys gouldii,Djoongari,EX,VU,N,2024-1
MAMMALS,Pseudomys shortridgei,Heath Mouse,NT,EN,G,2024-2
MAMMALS,Pteropus medius,Indian Flying Fox,LC,NT,G,2024-2
MAMMALS,Rattus bontanus,Southwestern Xanthurus Rat,DD,LC,N,2024-2
MAMMALS,Rattus detentus,Manus Island Spiny Rat,DD,CR,G,2024-2
MAMMALS,Rattus mollicomulus,Lompobatang Sulawesi Rat,LC,EN,N,2024-2
MAMMALS,Rattus salocco,Southeastern Xanthurus Rat,DD,VU,N,2024-2
MAMMALS,Rattus vandeuseni,Van Deusen's Rat,EN,NT,N,2024-1
MAMMALS,Rattus xanthurus,Northeastern Xanthurus Rat,NT,LC,N,2024-2
MAMMALS,Reithrodontomys musseri,Small Harvest Mouse,DD,NT,N,2024-2
MAMMALS,Sicista loriger,Nordmann’s Birch Mouse,VU,CR,N,2024-2
MAMMALS,Sicista severtzovi,Severtzov's Birch Mouse,LC,CR,N,2024-2
MAMMALS,Sommeromys macrorhinos,Sommer’s Sulawesi Rat,DD,NT,N,2024-2
MAMMALS,Spalax zemni,Podolian Mole Rat,VU,EN,G,2024-2
MAMMALS,Spermophilus major,Russet Ground Squirrel,LC,NT,G,2024-2
MAMMALS,Spermophilus musicus,Caucasian Mountain Ground Squirrel,NT,LC,N,2024-1
MAMMALS,Spermophilus suslicus,Speckled Ground Squirrel,NT,CR,G,2024-2
MAMMALS,Suncus hututsi,Hutu-Tutsi Dwarf Shrew,DD,LC,N,2024-2
MAMMALS,Suncus montanus,Sri Lanka Highland Shrew,VU,LC,N,2024-1
MAMMALS,Sylvisorex akaibei,Akaibe's Forest Shrew,DD,LC,N,2024-2
MAMMALS,Taeromys arcuatus,Salokko Rat,LC,VU,N,2024-2
MAMMALS,Taeromys callitrichus,Lovely-haired Rat,DD,LC,N,2024-2
MAMMALS,Taeromys hamatus,Sulawesi Montane Rat,DD,NT,N,2024-2
MAMMALS,Taeromys microbullatus,Small-eared Rat,DD,VU,N,2024-2
MAMMALS,Taeromys punicans,Sulawesi Forest Rat,DD,VU,N,2024-2
MAMMALS,Taeromys taerae,Tondano Rat,VU,LC,N,2024-2
MAMMALS,Tateomys macrocercus,Long-tailed Sulawesian Shrew Rat,DD,NT,N,2024-2
MAMMALS,Tateomys rhinogradoides,Tate’s Sulawesian Shrew Rat,DD,LC,N,2024-2
MAMMALS,Thomasomys andersoni,Anderson's Oldfield Mouse,DD,VU,N,2024-2
MAMMALS,Thomasomys vestitus,Dressy Oldfield Mouse,LC,NT,N,2024-1
BIRDS,Acrocephalus hiwae,Saipan Reed-warbler,CR,EN,N,2024-2
BIRDS,Acrocephalus kerearako,Cook Islands Reed-warbler,NT,LC,N,2024-2
BIRDS,Actenoides hombroni,Blue-capped Kingfisher,VU,LC,N,2024-2
BIRDS,Ampelornis griseiceps,Grey-headed Antbird,VU,NT,N,2024-2
BIRDS,Anas albogularis,Andaman Teal,VU,NT,N,2024-2
BIRDS,Anhinga melanogaster,Oriental Darter,NT,LC,G,2024-2
BIRDS,Apalopteron familiare,Bonin White-eye,NT,LC,N,2024-2
BIRDS,Apus acuticauda,Dark-rumped Swift,VU,NT,N,2024-2
BIRDS,Arborophila rufipectus,Sichuan Partridge,EN,VU,N,2024-2
BIRDS,Arenaria interpres,Ruddy Turnstone,LC,NT,N,2024-2
BIRDS,Arremon nigriceps,Maranon Sparrow,LC,NT,N,2024-2
BIRDS,Asarcornis scutulata,White-winged Duck,EN,CR,G,2024-2
BIRDS,Attila torridus,Ochraceous Attila,VU,NT,N,2024-2
BIRDS,Burhinus superciliaris,Peruvian Thick-knee,LC,VU,N,2024-2
BIRDS,Cacatua moluccensis,Salmon-crested Cockatoo,VU,EN,N,2024-2
BIRDS,Calidris alpina,Dunlin,LC,NT,G,2024-2
BIRDS,Calidris falcinellus,Broad-billed Sandpiper,LC,VU,G,2024-2
BIRDS,Calidris ferruginea,Curlew Sandpiper,NT,VU,G,2024-2
BIRDS,Calidris fuscicollis,White-rumped Sandpiper,LC,VU,G,2024-2
BIRDS,Calidris himantopus,Stilt Sandpiper,LC,NT,N,2024-2
BIRDS,Calidris minutilla,Least Sandpiper,LC,NT,G,2024-2
BIRDS,Calidris subruficollis,Buff-breasted Sandpiper,NT,VU,G,2024-2
BIRDS,Caprimulgus prigoginei,Prigogine's Nightjar,EN,DD,N,2024-2
BIRDS,Carpococcyx renauldi,Coral-billed Ground-cuckoo,VU,EN,N,2024-2
BIRDS,Celeus torquatus,Ringed Woodpecker,NT,LC,N,2024-2
BIRDS,Cercomacra carbonaria,Rio Branco Antbird,CR,VU,N,2024-2
BIRDS,Ceyx melanurus,North Philippine Dwarf-kingfisher,VU,LC,N,2024-2
BIRDS,Ceyx mindanensis,South Philippine Dwarf-Kingfisher,VU,LC,N,2024-2
BIRDS,Charadrius vociferus,Killdeer,LC,NT,G,2024-2
BIRDS,Charmosyna toxopei,Blue-fronted Lorikeet,CR,DD,N,2024-2
BIRDS,Chrysocolaptes strictus,Javan Flameback,VU,NT,N,2024-2
BIRDS,Chrysocorythus mindanensis,Mindanao Serin,NT,LC,N,2024-2
BIRDS,Columba oliviae,Somali Pigeon,DD,LC,N,2024-2
BIRDS,Conopias cinchoneti,Lemon-browed Flycatcher,VU,LC,N,2024-2
BIRDS,Corvus florensis,Flores Crow,EN,NT,N,2024-2
BIRDS,Corvus validus,Long-billed Crow,NT,LC,N,2024-2
BIRDS,Coturnicops exquisitus,Swinhoe's Rail,VU,LC,N,2024-2
BIRDS,Crossoptilon crossoptilon,White Eared-pheasant,NT,LC,N,2024-2
BIRDS,Crossoptilon harmani,Tibetan Eared-pheasant,NT,LC,N,2024-2
BIRDS,Crossoptilon mantchuricum,Brown Eared-pheasant,VU,LC,G,2024-2
BIRDS,Culicivora caudacuta,Sharp-tailed Tyrant,VU,LC,N,2024-2
BIRDS,Dacnis hartlaubi,Turquoise Dacnis,VU,NT,N,2024-2
BIRDS,Deconychura pallida,Southern Long-tailed Woodcreeper,NT,LC,N,2024-2
BIRDS,Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,VU,LC,N,2024-2
BIRDS,Dendrocolaptes punctipectus,Eastern Barred Woodcreeper,VU,NT,N,2024-2
BIRDS,Dendrocopos noguchii,Okinawa Woodpecker,CR,EN,G,2024-2
BIRDS,Dendroplex kienerii,Zimmer's Woodcreeper,NT,LC,N,2024-2
BIRDS,Dicaeum retrocinctum,Scarlet-collared Flowerpecker,VU,NT,N,2024-2
BIRDS,Drepanoptila holosericea,Cloven-feathered Dove,NT,LC,N,2024-2
BIRDS,Dubusia carrikeri,Carriker's Mountain-tanager,EN,NT,N,2024-2
BIRDS,Ducula mindorensis,Mindoro Imperial-pigeon,EN,NT,N,2024-2
BIRDS,Emberiza koslowi,Tibetan Bunting,NT,LC,N,2024-2
BIRDS,Erythrotriorchis buergersi,Chestnut-shouldered Goshawk,DD,NT,N,2024-2
BIRDS,Erythrura cyaneovirens,Red-headed Parrotfinch,NT,LC,N,2024-2
BIRDS,Euphonia chalybea,Green-throated Euphonia,NT,LC,N,2024-2
BIRDS,Eurylaimus javanicus,Javan Broadbill,NT,LC,N,2024-2
BIRDS,Euscarthmus rufomarginatus,Rufous-sided Pygmy-tyrant,NT,LC,N,2024-2
BIRDS,Ficedula disposita,Furtive Flycatcher,NT,LC,N,2024-2
BIRDS,Ficedula timorensis,Black-banded Flycatcher,NT,LC,N,2024-2
BIRDS,Garrulax annamensis,Orange-breasted Laughingthrush,LC,EN,G,2024-2
BIRDS,Garrulax rufifrons,Rufous-fronted Laughingthrush,CR,EN,N,2024-2
BIRDS,Geronticus calvus,Southern Bald Ibis,VU,NT,N,2024-2
BIRDS,Heleia muelleri,Spot-breasted White-eye,NT,LC,N,2024-2
BIRDS,Hemignathus affinis,Maui Nukupuu,CR,EX,G,2024-2
BIRDS,Hemignathus hanapepe,Kauai Nukupuu,CR,EX,N,2024-2
BIRDS,Hemitriccus orbitatus,Eye-ringed Tody-tyrant,NT,LC,N,2024-2
BIRDS,Hirundo atrocaerulea,Blue Swallow,VU,EN,N,2024-2
BIRDS,Ianthocincla konkakinhensis,Chestnut-eared Laughingthrush,VU,NT,N,2024-2
BIRDS,Indicator xanthonotus,Yellow-rumped Honeyguide,NT,LC,N,2024-2
BIRDS,Laniellus langbianis,Grey-crowned Crocias,EN,NT,N,2024-2
BIRDS,Lathrotriccus griseipectus,Grey-breasted Flycatcher,VU,LC,G,2024-2
BIRDS,Leptasthenura setaria,Araucaria Tit-spinetail,NT,LC,N,2024-2
BIRDS,Leptasthenura xenothorax,White-browed Tit-spinetail,EN,NT,N,2024-2
BIRDS,Limnodromus griseus,Short-billed Dowitcher,LC,VU,G,2024-2
BIRDS,Limnodromus scolopaceus,Long-billed Dowitcher,LC,NT,G,2024-2
BIRDS,Limosa fedoa,Marbled Godwit,LC,VU,G,2024-2
BIRDS,Limosa haemastica,Hudsonian Godwit,LC,VU,G,2024-2
BIRDS,Lophotibis cristata,Madagascar Crested Ibis,NT,VU,G,2024-2
BIRDS,Lophura edwardsi,Vietnam Pheasant,CR,CR(PEW),G,2024-2
BIRDS,Loxops ochraceus,Maui Akepa,CR,EX,G,2024-2
BIRDS,Malacocincla perspicillata,Black-browed Babbler,DD,NT,N,2024-2
BIRDS,Mareca falcata,Falcated Duck,NT,LC,N,2024-2
BIRDS,Margarornis stellatus,Fulvous-dotted Treerunner,NT,LC,N,2024-2
BIRDS,Megapodius layardi,Vanuatu Scrubfowl,VU,LC,N,2024-2
BIRDS,Micrastur mintoni,Cryptic Forest-falcon,LC,NT,N,2024-2
BIRDS,Microspingus alticola,Plain-tailed Warbling-finch,EN,NT,N,2024-2
BIRDS,Mixornis prillwitzi,Kangean Tit-babbler,VU,LC,N,2024-2
BIRDS,Montecincla cachinnans,Nilgiri Chilappan,EN,NT,N,2024-2
BIRDS,Myiagra albiventris,Samoan Flycatcher,NT,LC,N,2024-2
