Country,Total endemics (FW Fishes),Threatened endemics (FW Fishes),EX & EW endemics (FW Fishes),Total endemics (Groupers),Threatened endemics (Groupers),EX & EW endemics (Groupers),"Total endemics (Herrings, Anchovies, etc.)","Threatened endemics (Herrings, Anchovies, etc.)","EX & EW endemics (Herrings, Anchovies, etc.)",Total endemics (Seahorses & Pipefishes),Threatened endemics (Seahorses & Pipefishes),EX & EW endemics (Seahorses & Pipefishes),Total endemics (Sturgeons),Threatened endemics (Sturgeons),EX & EW endemics (Sturgeons),Total endemics (Wrasses & Parrotfishes),Threatened endemics (Wrasses & Parrotfishes),EX & EW endemics (Wrasses & Parrotfishes),Total endemics (Sharks & Rays),Threatened endemics (Sharks & Rays),EX & EW endemics (Sharks & Rays),Region,LC endemics (FW Fishes),LC endemics (Seahorses & Pipefishes),LC endemics (Wrasses & Parrotfishes),LC endemics (Groupers),"LC endemics (Herrings, Anchovies, etc.)",LC endemics (Sturgeons),LC endemics (Sharks & Rays)
Algeria,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Africa,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,North Africa,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,23.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Africa,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,67.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,63.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cameroon,135.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,71.0,0.0,0.0,0.0,1.0,0.0,0.0
